Market Price Type,Centre,Variety Name,Grade,Unit,Max Price,Average Price,Min. Price
Farm Price,"KUCHING, SARAWAK",TIMUN HIJAU ,F.A.Q,100 KG,250.00,200.00,150.00
Farm Price,"SIBU, SARAWAK",AYAM HIDUP,F.A.Q,100 KG,600.00,600.00,600.00
Farm Price,"SIBU, SARAWAK",BAYAM ,F.A.Q,100 KG,220.00,220.00,220.00
Farm Price,"SIBU, SARAWAK",BELIMBING (B10),F.A.Q,100 KG,350.00,350.00,350.00
Farm Price,"SIBU, SARAWAK",BETIK SEKAKI,F.A.Q,100 KG,250.00,250.00,250.00
Farm Price,"SIBU, SARAWAK",CILI HIJAU,F.A.Q,100 KG,600.00,600.00,600.00
Farm Price,"SIBU, SARAWAK",CILI MERAH MINYAK,F.A.Q,100 KG,700.00,700.00,700.00
Farm Price,"SIBU, SARAWAK",KACANG BENDI,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,"SIBU, SARAWAK",KACANG BUNCIS,F.A.Q,100 KG,550.00,550.00,550.00
Farm Price,"SIBU, SARAWAK",KACANG PANJANG HIJAU,F.A.Q,100 KG,400.00,400.00,400.00
Farm Price,"SIBU, SARAWAK",KANGKUNG,F.A.Q,100 KG,250.00,250.00,250.00
Farm Price,"SIBU, SARAWAK",KETOLA / PETOLA SEGI,F.A.Q,100 KG,310.00,310.00,310.00
Farm Price,"SIBU, SARAWAK",PISANG BERANGAN,F.A.Q,100 KG,290.00,290.00,290.00
Farm Price,"SIBU, SARAWAK",PISANG MAS,F.A.Q,100 KG,290.00,290.00,290.00
Farm Price,"SIBU, SARAWAK",SAWI HIJAU,F.A.Q,100 KG,390.00,390.00,390.00
Farm Price,"SIBU, SARAWAK",TELUR AYAM,A,100 BIJI,40.00,40.00,40.00
Farm Price,"SIBU, SARAWAK",TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,"SIBU, SARAWAK",TELUR AYAM,C,100 BIJI,36.00,36.00,36.00
Farm Price,"SIBU, SARAWAK",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,600.00,600.00,600.00
Farm Price,"SIBU, SARAWAK",TIMUN HIJAU ,F.A.Q,100 KG,80.00,80.00,80.00
Farm Price,"MIRI, SARAWAK",BAYAM ,F.A.Q,100 KG,500.00,500.00,500.00
Farm Price,"MIRI, SARAWAK",BELIMBING (B10),F.A.Q,100 KG,300.00,300.00,300.00
Farm Price,"MIRI, SARAWAK",BETIK SEKAKI,F.A.Q,100 KG,300.00,300.00,300.00
Farm Price,"MIRI, SARAWAK",BUNGA KANTAN,F.A.Q,TANGKAI,1.00,1.00,1.00
Farm Price,"MIRI, SARAWAK",CILI HIJAU,F.A.Q,100 KG,1500.00,1500.00,1500.00
Farm Price,"MIRI, SARAWAK",CILI MERAH MINYAK,F.A.Q,100 KG,2000.00,2000.00,2000.00
Farm Price,"MIRI, SARAWAK",DAUN BAWANG,F.A.Q,100 KG,1000.00,1000.00,1000.00
Farm Price,"MIRI, SARAWAK",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,900.00,900.00,900.00
Farm Price,"MIRI, SARAWAK",KACANG BENDI,F.A.Q,100 KG,700.00,700.00,700.00
Farm Price,"MIRI, SARAWAK",KACANG BUNCIS,F.A.Q,100 KG,600.00,600.00,600.00
Farm Price,"MIRI, SARAWAK",KACANG PANJANG HIJAU,F.A.Q,100 KG,600.00,600.00,600.00
Farm Price,"MIRI, SARAWAK",KANGKUNG,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,"MIRI, SARAWAK",KELAPA DIKUPAS,SEDANG,100 BIJI,100.00,100.00,100.00
Farm Price,"MIRI, SARAWAK",KETOLA / PETOLA SEGI,F.A.Q,100 KG,300.00,300.00,300.00
Farm Price,"MIRI, SARAWAK",PISANG BERANGAN,F.A.Q,100 KG,300.00,300.00,300.00
Farm Price,"MIRI, SARAWAK",PISANG MAS,F.A.Q,100 KG,300.00,300.00,300.00
Farm Price,"MIRI, SARAWAK",SAWI HIJAU,F.A.Q,100 KG,1000.00,1000.00,1000.00
Farm Price,"MIRI, SARAWAK",TELUR AYAM,A,100 BIJI,42.00,42.00,42.00
Farm Price,"MIRI, SARAWAK",TELUR AYAM,B,100 BIJI,39.00,39.00,39.00
Farm Price,"MIRI, SARAWAK",TELUR AYAM,C,100 BIJI,37.00,37.00,37.00
Farm Price,"MIRI, SARAWAK",TEMBIKAI MERAH,F.A.Q,100 KG,250.00,250.00,250.00
Farm Price,"MIRI, SARAWAK",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,300.00,300.00,300.00
Farm Price,"MIRI, SARAWAK",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,400.00,400.00,400.00
Farm Price,"MIRI, SARAWAK",TIMUN HIJAU ,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,"MIRI, SARAWAK",TOMATO (TANAH TINGGI),F.A.Q,100 KG,400.00,400.00,400.00
Wholesale Price,"JOHOR BAHRU, JOHOR",AYAM HIDUP,F.A.Q,100 KG,830.00,800.00,770.00
Wholesale Price,"JOHOR BAHRU, JOHOR",AYAM PROSES STANDARD,F.A.Q,100 KG,980.00,950.00,920.00
Wholesale Price,"JOHOR BAHRU, JOHOR",BAWANG BESAR KUNING / HOLLAND,F.A.Q,100 KG,400.00,400.00,400.00
Wholesale Price,"JOHOR BAHRU, JOHOR",BAWANG BESAR MERAH (IMPORT),F.A.Q,100 KG,450.00,425.00,400.00
Wholesale Price,"JOHOR BAHRU, JOHOR",BAWANG BESAR MERAH (INDIA),F.A.Q,100 KG,450.00,425.00,400.00
Wholesale Price,"JOHOR BAHRU, JOHOR",BAWANG MERAH / KECIL (THAI),F.A.Q,100 KG,900.00,850.00,800.00
Wholesale Price,"JOHOR BAHRU, JOHOR",BAWANG MERAH ROSE,F.A.Q,100 KG,900.00,850.00,800.00
Wholesale Price,"JOHOR BAHRU, JOHOR",BAWANG PUTIH (CHINA),F.A.Q,100 KG,900.00,850.00,800.00
Wholesale Price,"JOHOR BAHRU, JOHOR",BAYAM ,F.A.Q,100 KG,550.00,525.00,500.00
Wholesale Price,"JOHOR BAHRU, JOHOR",BELIMBING (B10),F.A.Q,100 KG,500.00,450.00,400.00
Wholesale Price,"JOHOR BAHRU, JOHOR",BETIK SEKAKI,F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"JOHOR BAHRU, JOHOR",BUNGA KANTAN,F.A.Q,TANGKAI,1.00,1.00,1.00
Wholesale Price,"JOHOR BAHRU, JOHOR",CILI HIJAU,F.A.Q,100 KG,1100.00,1050.00,1000.00
Wholesale Price,"JOHOR BAHRU, JOHOR",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1300.00,1250.00,1200.00
Wholesale Price,"JOHOR BAHRU, JOHOR",DAUN BAWANG,F.A.Q,100 KG,650.00,625.00,600.00
Wholesale Price,"JOHOR BAHRU, JOHOR",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,1050.00,1025.00,1000.00
Wholesale Price,"JOHOR BAHRU, JOHOR",KACANG BENDI,F.A.Q,100 KG,800.00,750.00,700.00
Wholesale Price,"JOHOR BAHRU, JOHOR",KACANG BUNCIS,F.A.Q,100 KG,1000.00,950.00,900.00
Wholesale Price,"JOHOR BAHRU, JOHOR",KACANG PANJANG HIJAU,F.A.Q,100 KG,900.00,850.00,800.00
Wholesale Price,"JOHOR BAHRU, JOHOR",KANGKUNG,F.A.Q,100 KG,550.00,525.00,500.00
Wholesale Price,"JOHOR BAHRU, JOHOR",KELAPA DIKUPAS,SEDANG,100 BIJI,190.00,190.00,190.00
Wholesale Price,"JOHOR BAHRU, JOHOR",KETOLA / PETOLA SEGI,F.A.Q,100 KG,500.00,475.00,450.00
Wholesale Price,"JOHOR BAHRU, JOHOR",KUBIS BULAT (CHINA),F.A.Q,100 KG,300.00,275.00,250.00
Wholesale Price,"JOHOR BAHRU, JOHOR",KUBIS BULAT (INDONESIA),F.A.Q,100 KG,300.00,275.00,250.00
Wholesale Price,"JOHOR BAHRU, JOHOR",KUBIS BULAT (TANAH TINGGI),F.A.Q,100 KG,450.00,425.00,400.00
Wholesale Price,"JOHOR BAHRU, JOHOR",PISANG BERANGAN,F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"JOHOR BAHRU, JOHOR",PISANG MAS,F.A.Q,100 KG,300.00,290.00,280.00
Wholesale Price,"JOHOR BAHRU, JOHOR",SAWI HIJAU,F.A.Q,100 KG,700.00,675.00,650.00
Wholesale Price,"JOHOR BAHRU, JOHOR",TELUR AYAM,A,100 BIJI,41.00,41.00,41.00
Wholesale Price,"JOHOR BAHRU, JOHOR",TELUR AYAM,B,100 BIJI,39.00,39.00,39.00
Wholesale Price,"JOHOR BAHRU, JOHOR",TELUR AYAM,C,100 BIJI,37.00,37.00,37.00
Wholesale Price,"JOHOR BAHRU, JOHOR",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"JOHOR BAHRU, JOHOR",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,800.00,750.00,700.00
Wholesale Price,"JOHOR BAHRU, JOHOR",TIMUN HIJAU ,F.A.Q,100 KG,500.00,475.00,450.00
Wholesale Price,"JOHOR BAHRU, JOHOR",TOMATO (TANAH TINGGI),F.A.Q,100 KG,500.00,450.00,400.00
Wholesale Price,"JOHOR BAHRU, JOHOR",UBI KENTANG HOLLAND,F.A.Q,100 KG,400.00,400.00,400.00
Wholesale Price,"KOTA SETAR, KEDAH",AYAM HIDUP,F.A.Q,100 KG,670.00,650.00,650.00
Wholesale Price,"KOTA SETAR, KEDAH",AYAM PROSES STANDARD,F.A.Q,100 KG,800.00,750.00,750.00
Wholesale Price,"KOTA SETAR, KEDAH",BAWANG BESAR KUNING / HOLLAND,F.A.Q,100 KG,300.00,280.00,280.00
Wholesale Price,"KOTA SETAR, KEDAH",BAWANG BESAR MERAH (IMPORT),F.A.Q,100 KG,200.00,180.00,180.00
Wholesale Price,"KOTA SETAR, KEDAH",BAWANG MERAH / KECIL (IMPORT),F.A.Q,100 KG,280.00,260.00,260.00
Wholesale Price,"KOTA SETAR, KEDAH",BAWANG MERAH / KECIL (THAI),F.A.Q,100 KG,850.00,800.00,800.00
Wholesale Price,"KOTA SETAR, KEDAH",BAWANG PUTIH (CHINA),F.A.Q,100 KG,850.00,800.00,800.00
Wholesale Price,"KOTA SETAR, KEDAH",BAYAM ,F.A.Q,100 KG,450.00,400.00,400.00
Wholesale Price,"KOTA SETAR, KEDAH",BELIMBING (B10),F.A.Q,100 KG,400.00,300.00,300.00
Wholesale Price,"KOTA SETAR, KEDAH",BETIK SEKAKI,F.A.Q,100 KG,280.00,250.00,250.00
Wholesale Price,"KOTA SETAR, KEDAH",BUNGA KANTAN,F.A.Q,TANGKAI,1.00,1.00,0.80
Wholesale Price,"KOTA SETAR, KEDAH",CILI HIJAU (IMPORT),F.A.Q,100 KG,950.00,900.00,900.00
Wholesale Price,"KOTA SETAR, KEDAH",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1400.00,1300.00,1300.00
Wholesale Price,"KOTA SETAR, KEDAH",DAUN BAWANG,F.A.Q,100 KG,850.00,800.00,800.00
Wholesale Price,"KOTA SETAR, KEDAH",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,1100.00,1000.00,1000.00
Wholesale Price,"KOTA SETAR, KEDAH",KACANG BENDI,F.A.Q,100 KG,600.00,550.00,550.00
Wholesale Price,"KOTA SETAR, KEDAH",KACANG BUNCIS,F.A.Q,100 KG,1100.00,1000.00,1000.00
Wholesale Price,"KOTA SETAR, KEDAH",KACANG PANJANG HIJAU,F.A.Q,100 KG,600.00,500.00,500.00
Wholesale Price,"KOTA SETAR, KEDAH",KANGKUNG,F.A.Q,100 KG,350.00,300.00,300.00
Wholesale Price,"KOTA SETAR, KEDAH",KELAPA DIKUPAS,SEDANG,100 BIJI,200.00,150.00,150.00
Wholesale Price,"KOTA SETAR, KEDAH",KETOLA / PETOLA SEGI,F.A.Q,100 KG,350.00,300.00,300.00
Wholesale Price,"KOTA SETAR, KEDAH",KUBIS BULAT (CHINA),F.A.Q,100 KG,230.00,220.00,220.00
Wholesale Price,"KOTA SETAR, KEDAH",KUBIS BULAT (INDONESIA),F.A.Q,100 KG,250.00,200.00,200.00
Wholesale Price,"KOTA SETAR, KEDAH",KUBIS BULAT (TANAH TINGGI),F.A.Q,100 KG,260.00,250.00,250.00
Wholesale Price,"KOTA SETAR, KEDAH",PISANG BERANGAN,F.A.Q,100 KG,300.00,250.00,250.00
Wholesale Price,"KOTA SETAR, KEDAH",PISANG MAS,F.A.Q,100 KG,300.00,250.00,250.00
Wholesale Price,"KOTA SETAR, KEDAH",SAWI HIJAU,F.A.Q,100 KG,600.00,550.00,550.00
Wholesale Price,"KOTA SETAR, KEDAH",TELUR AYAM,A,100 BIJI,41.00,41.00,41.00
Wholesale Price,"KOTA SETAR, KEDAH",TELUR AYAM,B,100 BIJI,39.00,39.00,39.00
Wholesale Price,"KOTA SETAR, KEDAH",TELUR AYAM,C,100 BIJI,37.00,37.00,37.00
Wholesale Price,"KOTA SETAR, KEDAH",TEMBIKAI MERAH,F.A.Q,100 KG,250.00,200.00,200.00
Wholesale Price,"KOTA SETAR, KEDAH",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,250.00,200.00,200.00
Wholesale Price,"KOTA SETAR, KEDAH",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,650.00,600.00,600.00
Wholesale Price,"KOTA SETAR, KEDAH",TIMUN HIJAU ,F.A.Q,100 KG,350.00,300.00,300.00
Wholesale Price,"KOTA SETAR, KEDAH",TOMATO (TANAH TINGGI),F.A.Q,100 KG,350.00,300.00,300.00
Wholesale Price,"KOTA SETAR, KEDAH",UBI KENTANG HOLLAND,F.A.Q,100 KG,160.00,150.00,150.00
Wholesale Price,"KOTA BHARU, KELANTAN",AYAM PROSES STANDARD,F.A.Q,100 KG,950.00,900.00,900.00
Wholesale Price,"KOTA BHARU, KELANTAN",BAWANG BESAR KUNING / HOLLAND,F.A.Q,100 KG,350.00,300.00,300.00
Wholesale Price,"KOTA BHARU, KELANTAN",BAWANG BESAR MERAH (INDIA),F.A.Q,100 KG,250.00,230.00,230.00
Wholesale Price,"KOTA BHARU, KELANTAN",BAWANG MERAH / KECIL (INDIA),F.A.Q,100 KG,200.00,180.00,180.00
Wholesale Price,"KOTA BHARU, KELANTAN",BAWANG PUTIH (CHINA),F.A.Q,100 KG,450.00,400.00,400.00
Wholesale Price,"KOTA BHARU, KELANTAN",BAYAM ,F.A.Q,100 KG,500.00,500.00,500.00
Wholesale Price,"KOTA BHARU, KELANTAN",BETIK SEKAKI,F.A.Q,100 KG,250.00,200.00,200.00
Wholesale Price,"KOTA BHARU, KELANTAN",BUNGA KANTAN,F.A.Q,TANGKAI,2.00,2.00,2.00
Wholesale Price,"KOTA BHARU, KELANTAN",CILI MERAH (THAILAND),F.A.Q,100 KG,1000.00,1000.00,1000.00
Wholesale Price,"KOTA BHARU, KELANTAN",CILI MERAH (VIETNAM),F.A.Q,100 KG,1000.00,1000.00,1000.00
Wholesale Price,"KOTA BHARU, KELANTAN",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1200.00,1100.00,1100.00
Wholesale Price,"KOTA BHARU, KELANTAN",CILI MERAH MINYAK,F.A.Q,100 KG,1000.00,1000.00,1000.00
Wholesale Price,"KOTA BHARU, KELANTAN",DAUN BAWANG,F.A.Q,100 KG,1200.00,1200.00,1200.00
Wholesale Price,"KOTA BHARU, KELANTAN",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,1200.00,1200.00,1200.00
Wholesale Price,"KOTA BHARU, KELANTAN",KACANG BENDI,F.A.Q,100 KG,420.00,400.00,400.00
Wholesale Price,"KOTA BHARU, KELANTAN",KACANG BUNCIS,F.A.Q,100 KG,1300.00,1200.00,1200.00
Wholesale Price,"KOTA BHARU, KELANTAN",KACANG PANJANG HIJAU,F.A.Q,100 KG,500.00,500.00,500.00
Wholesale Price,"KOTA BHARU, KELANTAN",KANGKUNG,F.A.Q,100 KG,400.00,400.00,400.00
Wholesale Price,"KOTA BHARU, KELANTAN",KELAPA DIKUPAS,SEDANG,100 BIJI,180.00,170.00,170.00
Wholesale Price,"KOTA BHARU, KELANTAN",KETOLA / PETOLA SEGI,F.A.Q,100 KG,200.00,200.00,200.00
Wholesale Price,"KOTA BHARU, KELANTAN",KUBIS BULAT (CHINA),F.A.Q,100 KG,330.00,310.00,310.00
Wholesale Price,"KOTA BHARU, KELANTAN",KUBIS BULAT (INDONESIA),F.A.Q,100 KG,200.00,200.00,200.00
Wholesale Price,"KOTA BHARU, KELANTAN",KUBIS BULAT (TANAH TINGGI),F.A.Q,100 KG,450.00,400.00,400.00
Wholesale Price,"KOTA BHARU, KELANTAN",PISANG BERANGAN,F.A.Q,100 KG,350.00,350.00,350.00
Wholesale Price,"KOTA BHARU, KELANTAN",PISANG MAS,F.A.Q,100 KG,350.00,350.00,350.00
Wholesale Price,"KOTA BHARU, KELANTAN",SAWI HIJAU,F.A.Q,100 KG,600.00,600.00,600.00
Wholesale Price,"KOTA BHARU, KELANTAN",TELUR AYAM,A,100 BIJI,44.00,44.00,44.00
Wholesale Price,"KOTA BHARU, KELANTAN",TELUR AYAM,B,100 BIJI,42.00,42.00,42.00
Wholesale Price,"KOTA BHARU, KELANTAN",TELUR AYAM,C,100 BIJI,41.00,41.00,41.00
Wholesale Price,"KOTA BHARU, KELANTAN",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,150.00,140.00,140.00
Wholesale Price,"KOTA BHARU, KELANTAN",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,500.00,450.00,450.00
Wholesale Price,"KOTA BHARU, KELANTAN",TIMUN HIJAU ,F.A.Q,100 KG,350.00,320.00,320.00
Wholesale Price,"KOTA BHARU, KELANTAN",TOMATO (TANAH TINGGI),F.A.Q,100 KG,500.00,500.00,500.00
Wholesale Price,"KOTA BHARU, KELANTAN",UBI KENTANG HOLLAND,F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"MELAKA TENGAH, MELAKA",AYAM PROSES STANDARD,F.A.Q,100 KG,760.00,760.00,760.00
Wholesale Price,"MELAKA TENGAH, MELAKA",BAWANG BESAR KUNING / HOLLAND,F.A.Q,100 KG,350.00,350.00,300.00
Wholesale Price,"MELAKA TENGAH, MELAKA",BAWANG BESAR MERAH (INDIA),F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"MELAKA TENGAH, MELAKA",BAWANG MERAH / KECIL (INDIA),F.A.Q,100 KG,450.00,450.00,450.00
Wholesale Price,"MELAKA TENGAH, MELAKA",BAWANG MERAH / KECIL (THAI),F.A.Q,100 KG,1000.00,975.00,950.00
Wholesale Price,"MELAKA TENGAH, MELAKA",BAWANG MERAH ROSE,F.A.Q,100 KG,650.00,600.00,550.00
Wholesale Price,"MELAKA TENGAH, MELAKA",BAWANG PUTIH (CHINA),F.A.Q,100 KG,750.00,725.00,700.00
Wholesale Price,"MELAKA TENGAH, MELAKA",BAYAM ,F.A.Q,100 KG,230.00,230.00,200.00
Wholesale Price,"MELAKA TENGAH, MELAKA",BELIMBING (B10),F.A.Q,100 KG,480.00,465.00,450.00
Wholesale Price,"MELAKA TENGAH, MELAKA",BETIK SEKAKI,F.A.Q,100 KG,350.00,315.00,280.00
Wholesale Price,"MELAKA TENGAH, MELAKA",BUNGA KANTAN,F.A.Q,TANGKAI,1.50,1.50,1.50
Wholesale Price,"MELAKA TENGAH, MELAKA",CILI HIJAU,F.A.Q,100 KG,1100.00,1100.00,1100.00
Wholesale Price,"MELAKA TENGAH, MELAKA",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1100.00,1100.00,1000.00
Wholesale Price,"MELAKA TENGAH, MELAKA",CILI MERAH MINYAK,F.A.Q,100 KG,1100.00,1100.00,1000.00
Wholesale Price,"MELAKA TENGAH, MELAKA",DAUN BAWANG,F.A.Q,100 KG,550.00,500.00,500.00
Wholesale Price,"MELAKA TENGAH, MELAKA",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,1000.00,1000.00,900.00
Wholesale Price,"MELAKA TENGAH, MELAKA",KACANG BENDI,F.A.Q,100 KG,380.00,350.00,350.00
Wholesale Price,"MELAKA TENGAH, MELAKA",KACANG BUNCIS,F.A.Q,100 KG,980.00,980.00,900.00
Wholesale Price,"MELAKA TENGAH, MELAKA",KACANG PANJANG HIJAU,F.A.Q,100 KG,550.00,550.00,500.00
Wholesale Price,"MELAKA TENGAH, MELAKA",KANGKUNG,F.A.Q,100 KG,230.00,230.00,200.00
Wholesale Price,"MELAKA TENGAH, MELAKA",KELAPA DIKUPAS,SEDANG,100 BIJI,160.00,160.00,160.00
Wholesale Price,"MELAKA TENGAH, MELAKA",KETOLA / PETOLA SEGI,F.A.Q,100 KG,300.00,300.00,280.00
Wholesale Price,"MELAKA TENGAH, MELAKA",KUBIS BULAT (CHINA),F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"MELAKA TENGAH, MELAKA",KUBIS BULAT (INDONESIA),F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"MELAKA TENGAH, MELAKA",KUBIS BULAT (TANAH TINGGI),F.A.Q,100 KG,300.00,250.00,250.00
Wholesale Price,"MELAKA TENGAH, MELAKA",PISANG BERANGAN,F.A.Q,100 KG,280.00,265.00,250.00
Wholesale Price,"MELAKA TENGAH, MELAKA",PISANG MAS,F.A.Q,100 KG,270.00,260.00,250.00
Wholesale Price,"MELAKA TENGAH, MELAKA",SAWI HIJAU,F.A.Q,100 KG,350.00,350.00,350.00
Wholesale Price,"MELAKA TENGAH, MELAKA",TELUR AYAM,A,100 BIJI,41.00,41.00,41.00
Wholesale Price,"MELAKA TENGAH, MELAKA",TELUR AYAM,B,100 BIJI,41.00,41.00,41.00
Wholesale Price,"MELAKA TENGAH, MELAKA",TELUR AYAM,C,100 BIJI,37.00,37.00,37.00
Wholesale Price,"MELAKA TENGAH, MELAKA",TEMBIKAI MERAH,F.A.Q,100 KG,250.00,235.00,220.00
Wholesale Price,"MELAKA TENGAH, MELAKA",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,250.00,235.00,220.00
Wholesale Price,"MELAKA TENGAH, MELAKA",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,650.00,600.00,600.00
Wholesale Price,"MELAKA TENGAH, MELAKA",TIMUN HIJAU ,F.A.Q,100 KG,320.00,320.00,300.00
Wholesale Price,"MELAKA TENGAH, MELAKA",TOMATO (TANAH TINGGI),F.A.Q,100 KG,350.00,350.00,320.00
Wholesale Price,"MELAKA TENGAH, MELAKA",UBI KENTANG HOLLAND,F.A.Q,100 KG,200.00,200.00,200.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",AYAM HIDUP,F.A.Q,100 KG,600.00,590.00,580.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",AYAM PROSES STANDARD,F.A.Q,100 KG,760.00,760.00,760.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BAWANG BESAR KUNING / HOLLAND,F.A.Q,100 KG,400.00,375.00,350.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BAWANG BESAR MERAH (INDIA),F.A.Q,100 KG,300.00,275.00,250.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BAWANG MERAH / KECIL (IMPORT),F.A.Q,100 KG,500.00,450.00,400.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BAWANG MERAH / KECIL (THAI),F.A.Q,100 KG,1100.00,1050.00,1000.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BAWANG MERAH ROSE,F.A.Q,100 KG,600.00,550.00,500.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BAWANG PUTIH (CHINA),F.A.Q,100 KG,700.00,700.00,700.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BAYAM ,F.A.Q,100 KG,300.00,275.00,250.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BELIMBING (B10),F.A.Q,100 KG,500.00,450.00,400.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BETIK SEKAKI,F.A.Q,100 KG,350.00,325.00,300.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",BUNGA KANTAN,F.A.Q,TANGKAI,1.00,0.90,0.80
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",CILI HIJAU,F.A.Q,100 KG,1000.00,950.00,900.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1400.00,1350.00,1300.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",CILI MERAH MINYAK,F.A.Q,100 KG,1200.00,1150.00,1100.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",DAUN BAWANG,F.A.Q,100 KG,600.00,550.00,500.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,1000.00,950.00,900.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",KACANG BENDI,F.A.Q,100 KG,800.00,750.00,700.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",KACANG BUNCIS,F.A.Q,100 KG,1300.00,1250.00,1200.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",KACANG PANJANG HIJAU,F.A.Q,100 KG,900.00,850.00,800.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",KANGKUNG,F.A.Q,100 KG,300.00,275.00,250.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",KELAPA DIKUPAS,SEDANG,100 BIJI,200.00,195.00,190.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",KETOLA / PETOLA SEGI,F.A.Q,100 KG,700.00,650.00,600.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",KUBIS BULAT (TANAH TINGGI),F.A.Q,100 KG,550.00,525.00,500.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",PISANG BERANGAN,F.A.Q,100 KG,350.00,325.00,300.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",PISANG MAS,F.A.Q,100 KG,350.00,325.00,300.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",SAWI HIJAU,F.A.Q,100 KG,500.00,475.00,450.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,A,100 BIJI,41.00,41.00,41.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,B,100 BIJI,39.00,39.00,39.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,C,100 BIJI,37.00,37.00,37.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,300.00,275.00,250.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,800.00,750.00,700.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",TIMUN HIJAU ,F.A.Q,100 KG,450.00,425.00,400.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",TOMATO (TANAH TINGGI),F.A.Q,100 KG,450.00,425.00,400.00
Wholesale Price,"SEREMBAN, NEGERI SEMBILAN",UBI KENTANG HOLLAND,F.A.Q,100 KG,350.00,325.00,300.00
